                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.56757,                0.35126,                 1.0291,                0.64228,                0.31816,                 1.0554,                0.95624,                0.97573,                 0.9907,                0.87924,                 0.4747,                0.27226,                 1.0012,                0.49777,                0.21665,                 1.0215,              0.0066835,              0.0066835,              0.0066835
                     70,                0.55797,                0.33809,                 1.0215,                0.62798,                0.30267,                 1.0448,                0.97505,                0.96764,                0.99173,                0.87685,                0.48527,                0.27475,                 1.0081,                0.50594,                0.21139,                 1.0186,               0.006634,               0.006634,               0.006634
                     71,                0.56059,                0.34222,                 1.0258,                0.62799,                0.30833,                 1.0489,                0.97366,                0.94297,                0.98819,                0.87573,                0.47672,                0.27693,                0.99975,                 0.4991,                0.23631,                 1.0139,              0.0065845,              0.0065845,              0.0065845
                     72,                0.56731,                0.34021,                 1.0291,                0.63998,                0.31471,                 1.0556,                0.96648,                0.96045,                0.98932,                0.87899,                 0.4801,                0.27578,                  1.006,                0.50448,                0.22719,                 1.0246,               0.006535,               0.006535,               0.006535
                     73,                0.55784,                  0.336,                 1.0214,                0.62693,                0.31413,                 1.0486,                0.96304,                0.96717,                  0.991,                0.87693,                0.47978,                0.27187,                 0.9995,                0.49276,                0.21577,                 1.0108,              0.0064855,              0.0064855,              0.0064855
                     74,                0.54578,                0.33146,                 1.0151,                0.62074,                0.30926,                 1.0405,                0.96671,                0.95458,                0.99019,                0.87806,                0.46952,                0.26563,                 0.9982,                0.49605,                0.21986,                  1.015,               0.006436,               0.006436,               0.006436
                     75,                0.55858,                 0.3371,                 1.0344,                0.62899,                0.32245,                 1.0584,                0.95802,                0.96999,                0.99077,                0.87927,                0.48419,                0.26835,                 1.0045,                0.50236,                0.22244,                 1.0154,              0.0063865,              0.0063865,              0.0063865
                     76,                0.54513,                0.32743,                 1.0131,                0.61227,                0.29589,                 1.0366,                0.96212,                0.96762,                0.99051,                0.88211,                0.47365,                0.26066,                 1.0005,                0.49711,                0.22242,                 1.0213,               0.006337,               0.006337,               0.006337
                     77,                0.55361,                0.33817,                 1.0213,                0.62628,                0.30789,                  1.047,                 0.9613,                0.95323,                0.98977,                0.88376,                0.46995,                0.26055,                0.99826,                0.48633,                0.22535,                 1.0067,              0.0062875,              0.0062875,              0.0062875
                     78,                0.55125,                0.33232,                   1.02,                0.61316,                0.29794,                 1.0424,                0.96793,                0.97475,                0.99121,                 0.8702,                0.49887,                 0.2718,                 1.0135,                0.52175,                0.21132,                 1.0256,               0.006238,               0.006238,               0.006238
